#time    h-1-a    h-1-b
1.00	64.9     92.8
2.00	28.2     57.9
3.00	54.2     49.5
4.00	45.4     54.2
5.00	39.1     61.0
6.00	39.6     58.4
7.00	32.8     64.6
8.00	50.6     38.6
9.00	45.9     58.9
10.00	59.4     35.4
11.00	53.7     48.5
12.00	40.2     54.7
13.00	62.0     32.9
14.00	58.9     40.7
15.00	59.4     39.1
16.00	41.7     63.6
17.00	55.8     36.0
18.00	58.9     43.8
19.00	39.6     61.5
20.00	29.2     71.4
21.00	28.7     65.2
22.00	51.6     45.3
23.00	53.7     48.5
24.00	41.7     50.1
25.00	48.5     52.6
26.00	50.1     56.3
27.00	40.1     49.5
28.00	53.1     45.3
29.00	41.2     61.0
30.00	45.9     42.8
31.00	63.1     39.6
32.00	59.4     41.2
33.00	50.1     48.5
34.00	44.8     47.9
35.00	52.6     50.0
36.00	47.4     45.9
37.00	37.0     63.1
38.00	44.9     54.2
39.00	52.1     43.8
40.00	58.9     43.8
41.00	58.9     39.1
42.00	62.5     32.3
43.00	60.5     41.7
44.00	50.6     42.2
45.00	67.2     38.0
46.00	52.6     45.4
47.00	43.8     55.7
48.00	52.2     43.3
49.00	58.4     38.0
50.00	65.7     32.9
51.00	68.3     33.9
52.00	50.1     46.4
53.00	57.8     40.7
54.00	57.3     43.3
55.00	54.2     40.1
56.00	54.8     52.1
57.00	39.6     56.8
58.00	42.8     55.3
59.00	51.1     48.0
60.00	36.0     56.3
61.00	52.7     49.0
62.00	55.2     46.4
63.00	45.9     47.4
64.00	64.6     34.4
65.00	65.2     31.8
66.00	55.2     48.5
67.00	48.5     53.2
68.00	42.2     50.6
69.00	41.7     56.8
70.00	32.8     68.8
71.00	38.6     51.6
72.00	50.6     56.3
73.00	43.8     53.2
74.00	44.8     45.9
75.00	55.3     44.8
76.00	38.1     66.7
77.00	34.9     58.4
78.00	53.2     47.9
79.00	39.6     62.1
80.00	38.1     54.7
81.00	51.6     47.9
82.00	48.5     50.1
83.00	43.3     54.2
84.00	51.0     51.1
85.00	42.8     53.2
86.00	41.2     60.5
87.00	44.3     40.7
88.00	68.8     43.3
89.00	28.7     70.9
90.00	20.3     80.8
91.00	31.3     61.5
92.00	43.8     53.7
93.00	36.0     63.1
94.00	53.7     42.2
95.00	38.6     63.6
96.00	42.2     62.5
97.00	28.7     61.5
98.00	50.1     49.6
99.00	44.3     54.7
100.00	41.2     60.0
101.00	41.2     54.7
102.00	60.4     34.4
103.00	39.6     61.5
104.00	40.7     57.9
105.00	49.5     49.0
106.00	45.4     57.8
107.00	25.5     68.8
108.00	49.0     45.9
109.00	50.6     51.6
110.00	47.4     51.1
111.00	41.7     54.2
112.00	64.1     36.0
113.00	48.5     44.3
114.00	55.3     49.0
115.00	50.0     48.5
116.00	54.2     38.0
117.00	53.7     47.9
118.00	48.0     49.0
119.00	57.3     40.1
120.00	51.6     60.0
