#time   h-1-a   h-1-b
1.00     253    83.2
2.00     104    75.6
3.00    54.7    53.2
4.00    63.6    38.1
5.00    38.0    50.6
6.00    91.8    89.1
7.00    66.2    61.4
8.00    82.4    99.2
9.00    57.9    77.7
10.00   58.4    63.0
11.00   79.3    97.0
12.00   95.9     125
13.00   68.3    90.2
14.00   50.5    73.0
15.00   47.9    51.6
16.00   61.5    81.9
17.00   59.9    73.0
18.00   30.8    45.4
19.00   46.4    54.2
20.00   66.2    92.2
21.00   45.4    87.1
22.00   50.0    65.1
23.00   47.9    43.8
24.00   42.2    51.6
25.00   82.9    64.1
26.00   56.3    65.1
27.00   79.7    87.0
28.00   64.2    47.5
29.00   87.0    64.1
30.00   49.0    41.7
31.00   95.5    91.7
32.00   83.4    76.7
33.00   70.9    90.2
34.00    115    68.3
35.00   56.9    73.0
36.00   90.2    31.3
37.00   58.9    41.7
38.00   93.3    86.1
39.00   76.1    58.9
40.00   82.3    93.8
41.00    139     107
42.00    151     128
43.00   81.3    92.3
44.00   77.2    99.6
45.00    107    73.5
46.00   71.9    63.6
47.00   59.0    82.9
48.00   70.9    44.8
49.00   85.5    62.6
50.00   62.0    54.2
51.00   37.0    50.6
52.00   71.4    36.5
53.00   32.8    34.4
54.00   93.8    94.3
55.00    103    95.9
56.00   70.9    81.8
57.00   65.1    34.4
58.00   45.4    47.0
59.00   76.6    89.6
60.00   55.8    31.8
61.00   82.9    77.7
62.00    105     130
63.00   61.0    64.7
64.00   57.3    53.7
65.00   56.8    79.2
66.00   73.5    70.9
67.00   62.6    81.3
68.00   92.3    79.8
69.00   45.4    45.3
70.00   45.9    56.9
71.00   64.6    60.0
72.00   94.9    75.6
73.00   79.8    90.2
74.00   87.6    76.6
75.00    101    86.0
76.00   82.3    70.4
77.00   64.1    71.9
78.00   87.1    89.6
79.00   56.8    68.3
80.00   79.2    81.3
81.00   93.3    88.1
82.00   82.4    57.8
83.00   42.8    47.4
84.00   69.8    50.1
85.00   51.1    60.4
86.00   80.2    74.0
87.00   45.9    57.9
88.00   39.6    38.0
89.00   70.9    79.3
90.01   44.4    33.4
91.00   73.1    94.9
92.00   49.0    45.9
93.00   50.6    81.8
94.00   75.0    66.2
95.00   66.2    70.9
96.00   60.9    55.2
97.00   63.6    79.3
98.00   72.9     117
99.00   68.3    53.2
100.00  87.0    88.1
101.00  57.9    56.9
102.00  67.2    81.8
103.00  81.9    59.9
104.00  62.6    75.1
105.00  52.1    50.5
106.00  44.3    45.9
107.00  45.9    58.4
108.00  78.2    56.3
109.00  59.5    80.8
110.00  34.4    68.3
111.00  79.8    62.6
112.00  66.2    50.0
113.00  61.5    53.2
114.00  72.5    73.0
115.00  61.0    51.1
116.00  37.5    52.6
117.00  74.1    54.2
118.00  69.8    54.7
119.00  90.2    65.2
120.00   112     138

