#time   h-1-a   h-1-b
1.00    74.3    43.9
2.00    51.6    45.4
3.00    52.6    41.2
4.00    53.1    46.4
5.00    47.4    45.9
6.00    51.7    49.0
7.00    44.8    45.3
8.00    40.7    37.6
9.00    47.4    40.6
10.00   45.3    44.3
11.00   37.6    41.7
12.00   37.5    39.1
13.00   52.7    49.0
14.00   43.3    55.2
15.00   35.4    50.6
16.00   40.2    47.5
17.00   29.2    53.2
18.00   38.0    60.0
19.00   32.3    55.8
20.00   41.7    58.4
21.00   42.2    55.3
22.00   37.0    58.9
23.00   43.8    56.3
24.00   42.7    55.3
25.00   39.7    52.1
26.00   47.4    45.4
27.00   43.8    53.1
28.00   43.8    54.2
29.00   32.9    44.8
30.00   48.5    52.6
31.00   31.8    50.1
32.00   38.6    61.5
33.00   27.1    43.3
34.00   45.9    55.3
35.00   38.1    51.1
36.00   28.7    35.4
37.00   40.7    52.7
38.00   31.8    37.0
39.00   41.7    61.5
40.00   28.7    57.8
41.00   37.0    53.2
42.00   28.7    51.1
43.00   45.8    59.4
44.00   30.3    45.4
45.00   41.7    47.9
46.00   40.2    61.0
47.00   43.8    54.7
48.00   31.3    31.3
49.00   39.1    53.2
50.00   36.5    39.1
51.00   50.6    53.7
52.00   52.6    44.8
53.00   39.1    30.8
54.00   40.7    32.9
55.00   54.2    51.6
56.00   48.5    46.4
57.00   51.1    44.9
58.00   43.3    46.9
59.00   49.5    44.3
60.00   48.5    48.0
61.00   43.8    43.8
62.00   34.9    25.0
63.00   39.1    41.7
64.00   50.6    47.4
65.00   50.0    45.8
66.00   34.9    30.3
67.00   40.8    46.9
68.00   37.0    38.0
69.00   50.5    48.0
70.00   52.7    45.4
71.00   51.6    49.5
72.00   45.9    42.7
73.00   42.7    45.3
74.00   53.2    32.3
75.00   54.7    41.2
76.00   51.1    37.0
77.00   52.2    41.7
78.00   50.0    44.9
79.00   61.5    37.0
80.00   51.6    44.3
81.00   42.2    38.6
82.00   52.1    45.9
83.00   39.6    35.4
84.00   44.3    41.2
85.00   51.6    46.4
86.00   39.6    42.8
87.00   46.9    43.8
88.00   45.3    40.2
89.00   46.4    50.0
90.00   47.4    43.8
91.00   48.5    47.4
92.00   52.1    49.0
93.00   49.0    48.5
94.00   49.5    48.0
95.00   24.0    28.7
96.00   53.2    46.9
97.00   46.4    42.2
98.00   49.0    48.5
99.00   44.3    50.0
100.00  48.5    47.5
101.00  43.8    43.2
102.00  48.0    50.0
103.00  30.2    49.5
104.00  47.9    54.8
105.00  37.6    43.2
106.00  44.3    52.1
107.00  41.2    54.8
108.00  47.4    52.1
109.00  42.8    53.7
110.00  55.8    42.7
111.00  53.1    44.3
112.00  54.7    43.3
113.00  51.1    44.8
114.00  59.9    39.6
115.00  57.4    40.1
116.00  46.9    37.5
117.00  58.4    38.6
118.00  55.8    41.1
119.00  47.4    38.1
120.00  55.3    48.4

























































































































