#time   h-1-a   h-1-b
1.00     205     110
2.00    91.7    67.3
3.00    94.8    40.1
4.00    92.3    71.0
5.00     134    87.5
6.00    80.3    61.0
7.00    82.9    65.7
8.00    79.3    41.2
9.00    57.3    52.1
10.00    101    74.1
11.00   49.5    69.9
12.00    104     120
13.00   80.2    91.7
14.00   63.1    58.9
15.00   89.7     108
16.00   87.1    79.3
17.00   43.3    35.9
18.00   79.2    91.8
19.00   71.4    90.8
20.00   49.0    57.9
21.00   58.9    50.0
22.00   84.4    82.9
23.00   67.8     101
24.00   75.6    89.7
25.00   50.0    66.2
26.00   63.1    77.6
27.00   62.5    53.2
28.00   41.2    36.5
29.00   50.5    63.1
30.00   79.8    97.3
31.00    125     115
32.00   66.7    78.7
33.00   76.1    74.0
34.00   90.8     102
35.00   76.1    50.1
36.00   50.0    56.3
37.00   55.8    58.9
38.00   93.3    92.3
39.00   79.2    50.0
40.00   45.9    60.5
41.00   80.3    67.8
42.00   68.7    61.0
43.00   76.2    83.4
44.00   61.0    77.2
45.00   64.6    61.5
46.00   50.6    59.5
47.00   61.0    44.3
48.00   58.9    70.9
49.00   61.5    53.1
50.00   61.5    56.3
51.00   60.5    80.2
52.00   48.0    33.9
53.00   44.3    62.5
54.00    109    77.7
55.00   55.3    45.4
56.00    102    91.7
57.00   65.7    74.5
58.00   77.1    60.0
59.00   59.0    65.7
60.00   56.8    63.6
61.00   77.7    53.3
62.00   72.9    79.2
63.00   60.0    65.7
64.00   66.7    60.4
65.00   51.6    74.6
66.00   66.2    71.9
67.00   50.6    58.9
68.00   79.7    80.8
69.00   62.6    52.7
70.00   37.6    64.1
71.00   88.6    96.9
72.00   67.8    62.0
73.00   66.2    58.4
74.00   56.3    53.2
75.00   62.6    65.7
76.00   79.2    65.2
77.00   80.3    78.7
78.00   68.8    68.3
79.00   51.6    74.0
80.00   76.1    59.4
81.00   75.6    88.6
82.00    120     125
83.00   89.2    73.0
84.00   46.4    58.4
85.00   75.1    69.3
86.00   83.4     102
87.00   55.3    41.2
88.00   58.9    69.9
89.00   71.4    86.5
90.00   57.9    70.3
91.00   64.1    61.0
92.00   32.8    41.7
93.00   33.9    46.4
94.00   55.2    72.9
95.00   30.8    44.3
96.00   27.6    42.8
97.00   57.9     106
98.00   63.1    46.4
99.00   59.4    55.2
100.00  64.2    73.5
101.00  48.5    55.3
102.00  73.8    81.9
103.00  52.2    36.5
104.00  44.9    52.2
105.00  83.4    85.4
106.00  65.1    42.2
107.00  97.5    95.0
108.00  56.3    40.6
109.00  69.3    56.9
110.00  40.7    42.2
111.00  38.1    33.4
112.00  71.9    75.6
113.00  68.8    80.2
114.00  54.2    43.8
115.00  28.7    26.1
116.00  56.9    63.6
117.00  41.7    48.5
118.00  88.6     116
119.00  64.7    74.5
120.00  77.6     151

















































































































































































































































