#time    h-1-a    h-1-b
1.00	  106      50.7
2.00	 49.5      50.1
3.00	 49.5      49.0
4.00	 49.0      49.5
5.00	 49.0      49.5
6.00	 50.0      49.0
7.00	 49.0      49.5
8.00	 49.5      49.5
9.00	 49.0      49.5
10.00	 49.5      49.0
11.00	 49.5      49.5
12.00	 49.0      49.5
13.00	 49.5      49.0
14.00	 49.6      49.5
15.00	 49.5      49.5
16.00	 49.0      49.0
17.00	 49.5      49.5
18.00	 49.0      49.5
19.00	 49.5      49.0
20.00	 49.5      49.5
21.00	 48.9      49.5
22.00	 49.6      49.5
23.00	 49.5      49.0
24.00	 49.0      49.5
25.00	 49.5      49.5
26.00	 49.5      49.1
27.00	 49.5      49.5
28.00	 49.0      49.5
29.00	 49.5      49.0
30.00	 49.0      49.5
31.00	 49.5      49.5
32.00	 49.5      49.0
33.00	 48.5      49.5
34.00	 50.1      49.5
35.00	 49.5      49.0
36.00	 49.5      49.5
37.00	 49.0      49.5
38.00	 49.5      49.0
39.00	 49.5      49.5
40.00	 49.0      49.6
41.00	 49.5      49.5
42.00	 49.5      49.0
43.00	 49.5      49.5
44.00	 49.0      49.0
45.00	 49.6      49.6
46.00	 49.0      49.5
47.00	 49.5      49.0
48.00	 49.0      49.5
49.00	 50.0      49.5
50.00	 49.0      49.5
51.00	 49.5      49.1
52.00	 49.0      49.5
53.00	 49.5      49.5
54.00	 49.5      49.0
55.00	 49.5      49.5
56.00	 49.0      49.5
57.00	 49.5      49.0
58.00	 49.6      49.6
59.00	 49.0      49.5
60.00	 49.5      49.0
61.00	 49.5      49.5
62.00	 49.6      49.5
63.00	 49.0      49.0
64.00	 49.5      49.5
65.00	 49.5      49.5
66.00	 49.0      49.5
67.00	 49.5      49.0
68.00	 49.5      49.5
69.00	 49.0      49.6
70.00	 49.5      49.5
71.00	 49.6      49.0
72.00	 49.0      49.5
73.00	 49.5      49.6
74.00	 49.5      49.0
75.00	 49.0      49.5
76.00	 49.6      49.5
77.00	 49.5      49.0
78.00	 49.0      49.5
79.00	 49.5      49.6
80.00	 49.5      49.0
81.00	 49.5      49.5
82.00	 49.0      49.5
83.00	 49.5      49.0
84.00	 49.6      49.6
85.00	 49.0      49.5
86.00	 49.5      49.5
87.00	 49.5      49.0
88.00	 49.5      49.5
89.00	 49.0      49.5
90.00	 49.5      49.0
91.00	 49.0      49.5
92.00	 49.5      49.5
93.00	 49.5      49.0
94.00	 49.5      49.5
95.00	 49.0      49.5
96.00	 49.5      49.5
97.00	 49.5      49.0
98.00	 49.0      49.5
99.00	 49.5      49.5
100.00	 49.5      49.0
101.00	 49.5      49.5
102.00	 49.0      49.5
103.00	 49.5      49.5
104.00	 49.5      49.0
105.00	 49.0      49.5
106.00	 49.0      49.5
107.00	 50.1      49.0
108.00	 49.0      49.5
109.00	 49.5      49.5
110.00	 49.5      49.0
111.00	 49.5      49.0
112.00	 49.0      50.0
113.00	 49.6      49.5
114.00	 49.5      49.0
115.00	 49.0      49.5
116.00	 49.5      49.5
117.00	 49.5      49.0
118.00	 49.0      49.5
119.00	 49.5      49.5
120.00	 49.6      61.5


 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
