#time    h-1-a    h-1-b
1.00	  190     80.4 
2.00	 73.5     73.9 
3.00	 54.2     53.7 
4.00	 44.3     30.8 
5.00	 45.9     47.9 
6.00	 31.8     44.8 
7.00	 56.3     40.2 
8.00	 96.4     80.3 
9.00	 56.8     22.4 
10.00	 26.1     19.3 
11.00	 54.7     70.9 
12.00	 73.4     59.4 
13.00	 76.1     79.7 
14.00	 51.1     38.6 
15.00	 41.7     43.3 
16.00	 49.5     69.4 
17.00	 45.3     77.7 
18.00	 58.4     68.8 
19.00	 57.9     63.1 
20.00	 66.2     87.6 
21.00	 86.1     91.7 
22.00	  124      123 
23.00	  105     80.3 
24.00	 50.1     64.6 
25.00	 61.0     47.9 
26.00	 58.9     71.0 
27.00	 50.0     37.0 
28.00	 64.1     83.4 
29.00	 66.2     71.9 
30.00	 78.7     66.8 
31.00	 36.5     41.7 
32.00	 36.0     63.1 
33.00	 74.1     43.8 
34.00	 42.2     76.7 
35.00	 58.9     77.1 
36.00	 46.9     55.2 
37.00	 50.0     64.1 
38.00	 23.4     41.2 
39.00	 74.0     98.5 
40.00	 33.4     57.8 
41.00	 77.7     68.3 
42.00	 58.4     85.4 
43.00	 98.0     80.9 
44.00	 42.3     56.8 
45.00	 54.2     66.2 
46.00	 70.4     47.4 
47.00	 89.2     78.7 
48.00	 38.0     43.8 
49.00	 48.0     46.4 
50.00	 76.1     83.9 
51.00	 68.3     42.7 
52.00	 72.5     55.8 
53.00	 82.3     89.1 
54.00	  105     81.8 
55.00	 24.5     25.0 
56.00	 31.8     41.7 
57.00	 70.3     55.8 
58.00	 47.5     50.6 
59.00	 54.7     51.1 
60.00	 26.6     28.7 
61.00	 51.1     91.7 
62.00	 45.3     48.4 
63.00	 55.8     76.6 
64.00	 61.0     37.6 
65.00	 38.0     35.4 
66.00	 20.3     25.0 
67.00	 55.8     46.9 
68.00	 59.9     62.6 
69.00	 21.4     23.5 
70.00	 45.3     56.3 
71.00	 33.9     34.4 
72.00	 62.5     81.3 
73.00	 65.2     63.6 
74.00	  123      118 
75.00	 45.4     36.5 
76.00	 64.1     66.7 
77.00	 66.8     89.6 
78.00	 84.4     73.5 
79.00	 78.2     92.8 
80.00	 54.7     49.0 
81.00	 59.4     56.9 
82.00	 66.7     75.0 
83.00	 49.0     32.8 
84.00	 67.2     49.0 
85.00	 45.8     50.1 
86.00	 47.5     31.3 
87.00	 56.3     56.8 
88.00	 47.4     45.3 
89.00	 42.2     74.1 
90.00	 73.4     69.8 
91.00	 49.0     46.4 
92.00	 62.0     65.7 
93.00	 92.8     88.6 
94.00	 59.4     74.0 
95.00	 67.7     69.3 
96.00	 58.4     58.4 
97.00	 67.8     57.3 
98.00	 67.2     65.7 
99.00	 43.3     47.4 
100.00	 52.1     47.9 
101.00	 39.1     45.3 
102.00	 39.1     39.6 
103.00	 49.0     54.2 
104.00	 50.0     39.1 
105.00	 32.3     49.0 
106.00	 67.2     66.8 
107.00	 79.8      102 
108.00	 87.1     68.3 
109.00	 54.7     28.2 
110.00	 48.5     32.8 
111.00	 46.4     52.6 
112.00	 62.0     50.1 
113.00	 59.0     45.9 
114.00	 58.9     70.9 
115.00	 53.7     48.5 
116.00	  102      114 
117.00	 76.1     87.1 
118.00	 64.1     75.0 
119.00	 71.9     76.6 
120.00	 95.9      158 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 















































































































































































































































